"","feature","id","fc","pval","qval"
"1","gene","gene:ENSG00000170917",1.63719744947658,0.421272404680091,0.693775461299063
"2","gene","gene:ENSG00000179131",0.862743299366358,0.0165985895393428,0.463380125993401
"3","gene","gene:ENSG00000182888",0.908750063152868,0.066035180726245,0.471221425177044
"4","gene","gene:ENSG00000213406",1.08303849782899,0.601169938211628,0.810343910977329
"5","gene","gene:ENSG00000214297",0.948335783294621,0.533083291399376,0.768184696263246
"6","gene","gene:ENSG00000214925",0.759864205679337,0.278996863467232,0.604101101075671
"7","gene","gene:ENSG00000215467",1.54288546663201,0.0948876186039049,0.474658679149807
"8","gene","gene:ENSG00000226210",0.627993903834328,0.781366492692714,0.910536266213297
"9","gene","gene:ENSG00000226540",0.756905458926253,0.0335415435917413,0.463380125993401
"10","gene","gene:ENSG00000228360",0.834239268272321,0.830776884744564,0.931505980233806
"11","gene","gene:ENSG00000229145",0.754375676444492,0.0899816401673987,0.474658679149807
"12","gene","gene:ENSG00000229349",0.995914752841342,0.716104420037224,0.877436579125224
"13","gene","gene:ENSG00000229700",0.881210177166967,0.261347369311869,0.591688046439785
"14","gene","gene:ENSG00000230362",0.868283133777423,0.256332713620765,0.587933695335343
"15","gene","gene:ENSG00000236735",0.946491598152384,0.598094999381259,0.808074971104901
"16","gene","gene:ENSG00000236993",1.18673516790958,0.606920430714504,0.813761419666242
"17","gene","gene:ENSG00000237668",0.947114819454758,0.580344927311225,0.797554288007615
"18","gene","gene:ENSG00000237676",0.872437004212434,0.0493983520754648,0.46431100726749
"19","gene","gene:ENSG00000240003",0.90688814093729,0.0948876186039085,0.474658679149807
"20","gene","gene:ENSG00000241282",0.889904849831983,0.471731173011689,0.730767474164736
"21","gene","gene:ENSG00000241458",1.03758747118367,0.374075139055164,0.668398927680047
"22","gene","gene:ENSG00000243095",0.905409470257006,0.245367279959519,0.58510075394095
"23","gene","gene:ENSG00000243422",0.728293983666406,0.0055872043595131,0.46050620696028
"24","gene","gene:ENSG00000243537",0.943933603279809,0.166915614259783,0.52529795991125
"25","gene","gene:ENSG00000243781",1.03186677098995,0.677120358816593,0.8579076787852
"26","gene","gene:ENSG00000244485",0.842305329479046,0.170386253637362,0.528743751991154
"27","gene","gene:ENSG00000250346",0.877561897358448,0.0131772614060954,0.463380125993401
"28","gene","gene:ENSG00000255074",0.902357488318364,0.687201642259196,0.861817737357454
"29","gene","gene:ENSG00000258810",0.736243240099019,0.367671068044643,0.663973858885596
"30","gene","gene:ENSG00000258846",0.696921596949553,0.778699748069423,0.909757984754796
"31","gene","gene:ENSG00000259105",1.10269493124955,0.830776884744564,0.931505980233806
"32","gene","gene:ENSG00000266920",0.805329943530474,0.0373836679683854,0.46431100726749
"33","gene","gene:ENSG00000269637",0.92636950907122,0.0155278399289753,0.463380125993401
"34","gene","MSTRG.10000",0.897377365374592,0.435807673040256,0.704905346624041
"35","gene","MSTRG.10003",1.39939580819485,0.684202564114689,0.860132897398891
"36","gene","MSTRG.10004",0.97943485620158,0.26530862477885,0.594385255377219
"37","gene","MSTRG.10006",0.647114969154951,0.535086028845903,0.769140619881849
"38","gene","MSTRG.1001",1.02245239119759,0.934560660245035,0.977436774452082
"39","gene","MSTRG.10016",0.850576354650831,0.176959495257743,0.533337949424707
"40","gene","MSTRG.10021",0.964164269505552,0.886461016462174,0.954803031415882
"41","gene","MSTRG.10023",1.11614646392588,0.877603636311314,0.950600844291559
"42","gene","MSTRG.10026",0.925624930629088,0.138380363430401,0.505764559573139
"43","gene","MSTRG.10030",10.1278973106894,0.202548685256143,0.556069605951123
"44","gene","MSTRG.10037",1.01157107101002,0.73311650063179,0.88651145139488
"45","gene","MSTRG.10040",1.17794111637096,0.865435323657216,0.945664043257741
"46","gene","MSTRG.10054",0.977871627972919,0.782908258703875,0.911868722320466
"47","gene","MSTRG.10056",0.844221433317317,0.355550723184374,0.655395179935193
"48","gene","MSTRG.10058",1.12066257953517,0.855505478401613,0.941553826044778
"49","gene","MSTRG.10060",0.991660374779389,0.769378351987347,0.905529219627636
"50","gene","MSTRG.10061",0.599258451114887,0.241813016133418,0.583316207908911
"51","gene","MSTRG.10063",0.828742674653175,0.160348708101679,0.52269633865047
"52","gene","MSTRG.10064",0.887881037492195,0.33517712785608,0.638466505030369
"53","gene","MSTRG.10065",0.972144208504103,0.968130305193406,0.988066693743754
"54","gene","MSTRG.10069",1.18830180736353,0.0912396262843811,0.474658679149807
"55","gene","MSTRG.10074",0.848832485882987,0.137110065834538,0.505501644608261
"56","gene","MSTRG.10075",0.856856672307973,0.147376179650629,0.512156523660713
"57","gene","MSTRG.10078",1.03260359405586,0.802304715801696,0.922701834985267
"58","gene","MSTRG.10079",0.950074493899065,0.429093676986891,0.699683243360045
"59","gene","MSTRG.10095",0.863224882106501,0.116607310614401,0.48813575889295
